,Team,Strength of Schedule,Year
2992,Liberty,0.4057971014492754,2021
2993,Louisiana,0.40217391304347827,2021
2994,C Arkansas,0.40217391304347827,2021
2995,Navy,0.40217391304347827,2021
2996,Samford,0.40217391304347827,2021
2997,UMBC,0.39855072463768115,2021
2998,New Mexico,0.39855072463768115,2021
2999,Holy Cross,0.39855072463768115,2021
3000,Green Bay,0.39855072463768115,2021
3001,Grand Canyon,0.39492753623188404,2021
3002,UCSD,0.39492753623188404,2021
3003,N Arizona,0.39492753623188404,2021
3004,Albany,0.39492753623188404,2021
3005,Weber St,0.3913043478260869,2021
3006,Charleston,0.38768115942028986,2021
3007,N Kentucky,0.38768115942028986,2021
3008,J Madison,0.38768115942028986,2021
3009,Utah Valley,0.38768115942028986,2021
3010,Stony Brook,0.3840579710144928,2021
3011,Elon,0.3840579710144928,2021
3012,E Michigan,0.3840579710144928,2021
3013,Monmouth,0.3804347826086957,2021
3014,S Alabama,0.3804347826086957,2021
3015,CS Fullerton,0.37681159420289856,2021
3016,Troy,0.37681159420289856,2021
3017,Saint Peter's,0.37681159420289856,2021
3018,Long Beach St,0.37681159420289856,2021
3019,Jacksonville St,0.37318840579710144,2021
3020,Kansas City,0.37318840579710144,2021
3021,Rider,0.37318840579710144,2021
3022,Sacramento St,0.3695652173913043,2021
3023,CS Northridge,0.3695652173913043,2021
3024,Texas St,0.3695652173913043,2021
3025,Idaho,0.3695652173913043,2021
3026,Binghamton,0.3695652173913043,2021
3027,Robert Morris,0.3695652173913043,2021
3028,IU Indy,0.3659420289855072,2021
3029,Hawai'i,0.3659420289855072,2021
3030,NJIT,0.3659420289855072,2021
3031,Belmont,0.36231884057971014,2021
3032,C Michigan,0.36231884057971014,2021
3033,Florida Intl,0.36231884057971014,2021
3034,Colgate,0.36231884057971014,2021
3035,Gardner-Webb,0.3586956521739131,2021
3036,Arkansas St,0.3586956521739131,2021
3037,Delaware,0.3586956521739131,2021
3038,Niagara,0.3586956521739131,2021
3039,The Citadel,0.35507246376811596,2021
3040,Florida Atlantic,0.35507246376811596,2021
3041,Loyola MD,0.35507246376811596,2021
3042,Abl Christian,0.35507246376811596,2021
3043,NC Wilmington,0.35507246376811596,2021
3044,Fairfield,0.35507246376811596,2021
3045,Illinois Chicago,0.35507246376811596,2021
3046,Milwaukee,0.35144927536231885,2021
3047,App State,0.35144927536231885,2021
3048,Lamar,0.34782608695652173,2021
3049,Montana St,0.34782608695652173,2021
3050,San Jose St,0.34782608695652173,2021
3051,Iona,0.3442028985507246,2021
3052,Vermont,0.3442028985507246,2021
3053,Canisius,0.3442028985507246,2021
3054,Winthrop,0.3442028985507246,2021
3055,Murray St,0.3442028985507246,2021
3056,Portland,0.33695652173913043,2021
3057,N Florida,0.33695652173913043,2021
3058,Lehigh,0.33695652173913043,2021
3059,Manhattan,0.33695652173913043,2021
3060,W Illinois,0.33695652173913043,2021
3061,E Illinois,0.33333333333333337,2021
3062,St Francis PA,0.33333333333333337,2021
3063,Hartford,0.33333333333333337,2021
3064,Coastal Car,0.33333333333333337,2021
3065,NC Asheville,0.33333333333333337,2021
3066,SE Missouri St,0.33333333333333337,2021
3067,Purdue FW,0.32971014492753625,2021
3068,Hou Christian,0.32971014492753625,2021
3069,New Mexico St,0.32971014492753625,2021
3070,NW State,0.32971014492753625,2021
3071,Chicago St,0.32971014492753625,2021
3072,E Kentucky,0.32608695652173914,2021
3073,Georgia So,0.32608695652173914,2021
3074,SE Louisiana,0.32608695652173914,2021
3075,Bellarmine,0.32608695652173914,2021
3076,F Dickinson,0.32608695652173914,2021
3077,Siena,0.32608695652173914,2021
3078,Cal Poly,0.322463768115942,2021
3079,Marist,0.3188405797101449,2021
3080,Nicholls,0.31159420289855067,2021
3081,S Utah,0.31159420289855067,2021
3082,Quinnipiac,0.3079710144927536,2021
3083,Bryant,0.3079710144927536,2021
3084,Mt St Mary's,0.3079710144927536,2021
3085,Coppin St,0.3079710144927536,2021
3086,Radford,0.3079710144927536,2021
3087,Austin Peay,0.30434782608695654,2021
3088,SIU Edward,0.30434782608695654,2021
3089,Texas So,0.30434782608695654,2021
3090,New Hampshire,0.30434782608695654,2021
3091,C Connecticut,0.30434782608695654,2021
3092,Lipscomb,0.3007246376811594,2021
3093,SC Upstate,0.3007246376811594,2021
3094,Tennessee St,0.3007246376811594,2021
3095,Wagner,0.3007246376811594,2021
3096,Stetson,0.3007246376811594,2021
3097,UC Davis,0.3007246376811594,2021
3098,Bucknell,0.3007246376811594,2021
3099,N Colorado,0.2934782608695652,2021
3100,New Orleans,0.28985507246376807,2021
3101,UT Martin,0.28985507246376807,2021
3102,Lafayette,0.286231884057971,2021
3103,Portland St,0.27898550724637683,2021
3104,Denver,0.27898550724637683,2021
3105,High Point,0.27898550724637683,2021
3106,Sacred Heart,0.27898550724637683,2021
3107,St Fran (NY),0.2753623188405797,2021
3108,Longwood,0.2753623188405797,2021
3109,SF Austin,0.2717391304347826,2021
3110,Florida A&M,0.2717391304347826,2021
3111,Seattle,0.2717391304347826,2021
